SYNOPCode,Removed_Feature,RMSE,R2
4,FSO_Att,0.45199063867643846,0.9264315283385273
4,TemperatureMax,0.47077225899577446,0.9201905017226397
4,VisibilityMax,0.46879658852964695,0.9208589625625503
4,RainIntensityMax,0.5054432503121838,0.9080021545525286
4,AbsoluteHumidity,0.5038103391236645,0.9085956203860573
4,TemperatureMin,0.5131473153367484,0.9051762828352232
4,RainIntensity,0.5509827003797968,0.8906776949566977
4,RainIntensityMin,0.5498939955130417,0.891109295215528
4,AbsoluteHumidityMin,0.9235270367350165,0.6928630394971946
4,RelativeHumidity,1.238357402185639,0.44776381181546554
5,SYNOPCode,0.5491034468590793,0.9636723850899901
5,WindDirection,0.5483895932851979,0.9637667780181094
5,WindSpeedMin,0.5459565750012286,0.9640875737929913
5,WindSpeedMax,0.5431786892409097,0.9644520966344076
5,TemperatureMin,0.5433229276659742,0.9644332149865382
5,Particulate,0.5358489027637008,0.9654050078073663
5,WindSpeed,0.5360734705260325,0.9653760050497812
5,VisibilityMax,0.5351926955431723,0.9654896868401851
5,ParticulateMax,0.5330326028423907,0.9657676990013335
5,TemperatureMax,0.5325917578094354,0.9658242992888654
5,VisibilityMin,0.5240085564460735,0.9669169681888887
5,Time,0.5231155773584661,0.967029627736507
5,ParticulateMin,0.5436793693291873,0.9643865331999655
5,Temperature,0.5362903640131086,0.9653479818827434
5,TemperatureDifference,0.5457559644712834,0.964113960826541
5,Frequency,0.5737056422801962,0.9603441934231286
5,RainIntensityMin,0.6893351046555841,0.9427481747847105
5,Visibility,0.6914101066369285,0.9424029828763898
5,RelativeHumidity,0.7418093939183517,0.9337000496991587
5,Distance,0.7625258232153028,0.9299452387970499
5,RainIntensity,0.8948551705195436,0.9035207210546482
5,FSO_Att,0.8970353462168942,0.9030500348056607
5,RainIntensityMax,1.0406417579506513,0.8695238770893758
5,AbsoluteHumidityMax,1.4989479989314476,0.729291633172914
5,AbsoluteHumidityMin,1.5289848081729354,0.7183337018223345
5,AbsoluteHumidity,1.6832476512840768,0.6586306071637791
6,SYNOPCode,0.6637212324889901,0.9730338522501918
6,WindDirection,0.6622763562466744,0.9731511314170871
6,WindSpeed,0.654829132223448,0.9737515615307668
6,WindSpeedMin,0.6526259776711648,0.9739278887013472
6,TemperatureMin,0.6510751023681556,0.9740516549971576
6,WindSpeedMax,0.6510682578571889,0.9740522005649355
6,Particulate,0.6466546906570143,0.974402806461491
6,AbsoluteHumidityMin,0.645860850059158,0.9744656146932371
6,TemperatureMax,0.6383773255554245,0.9750539152352852
6,Time,0.6314804014659189,0.9755900302861202
6,Frequency,0.6606620944970422,0.9732818571493433
6,VisibilityMin,0.83137895136735,0.9576897552394109
6,ParticulateMax,0.8288740559835274,0.9579443276621807
6,TemperatureDifference,0.828512831422839,0.9579809755254035
6,VisibilityMax,0.8669714438213503,0.9539894871874153
6,Distance,0.8644122005793975,0.9542607263304247
6,RelativeHumidity,0.9067753270482286,0.9496676883425895
6,AbsoluteHumidityMax,0.9375206621175725,0.9461966665529247
6,ParticulateMin,0.9319255842565366,0.9468369416407519
6,Visibility,0.92338177315624,0.9478072616615116
6,FSO_Att,1.015213549140038,0.9369097427413985
6,Temperature,1.3068978423022655,0.8954483792362701
6,RainIntensityMax,1.7184743631441772,0.8192269843884149
6,RainIntensityMin,1.727587319447745,0.8173046460721598
6,AbsoluteHumidity,1.7319863423026354,0.8163730529185049
6,RainIntensity,3.2228499714340444,0.3641895441041497
7,SYNOPCode,0.3158059379335334,0.95755646141673
7,WindSpeedMin,0.31098073959117806,0.9588435425619101
7,Distance,0.30999722542726993,0.9591034554469456
7,WindDirection,0.3160367443133432,0.9574943991304056
7,WindSpeed,0.3093189917912539,0.959282212331936
7,ParticulateMin,0.3071215445862769,0.9598586875479992
7,Visibility,0.30445982332844124,0.9605514555507851
7,Particulate,0.30241006608936843,0.9610808373678186
7,VisibilityMin,0.3046172455176566,0.9605106509439032
7,AbsoluteHumidityMin,0.30180646883072254,0.9612360442111235
7,AbsoluteHumidityMax,0.3005588301109553,0.9615558746476875
7,Frequency,0.2977716633614361,0.9622655751140465
7,ParticulateMax,0.33149597784852397,0.9532342904451993
7,Temperature,0.33213952994263163,0.9530525363001264
7,VisibilityMax,0.33541695928003445,0.9521214448036738
7,RelativeHumidity,0.3257341421623442,0.9548458610190369
7,TemperatureMax,0.3322551987598837,0.9530198313512688
7,TemperatureMin,0.33154243298680425,0.9532211822334886
7,RainIntensity,0.3360898804148534,0.9519291420024025
7,RainIntensityMax,0.33340446839921095,0.9526942607520424
7,Time,0.3407539656353766,0.9505856782197836
7,AbsoluteHumidity,0.35969770254423633,0.9449387166920028
7,RainIntensityMin,0.4101793646912836,0.9283990775261164
7,WindSpeedMax,0.6503182624290008,0.8200205576964339
7,TemperatureDifference,0.6805736623655653,0.8028842721816977
7,FSO_Att,0.940631733749162,0.623460749333401
8,SYNOPCode,0.8891728793808192,0.9164676971812171
8,WindDirection,0.8846017667152155,0.9173243451847042
8,WindSpeedMin,0.8672298102065608,0.9205396571910761
8,WindSpeedMax,0.8788500604585476,0.9183959689520252
8,Time,0.8789571547594572,0.9183760796454755
8,TemperatureMax,0.8822048272122117,0.9177717782989967
8,TemperatureMin,0.8800917385625878,0.9181652185157633
8,WindSpeed,0.8635166860266298,0.9212186340509967
8,FSO_Att,0.8702611494530981,0.9199831905500311
8,RelativeHumidity,0.8794366169892781,0.9182870053130552
8,Frequency,0.8866917952008585,0.9169332118885024
8,TemperatureDifference,1.0622505355786946,0.8807836129636906
8,VisibilityMax,1.1065133067138728,0.8706413958627593
8,Particulate,1.1096302989954712,0.8699115760241418
8,Distance,1.0997301004184257,0.8722225364566315
8,Temperature,1.1480734338849714,0.8607416087647292
8,ParticulateMax,1.1701745413179396,0.8553283852045634
8,Visibility,1.172298198543643,0.8548028025745876
8,RainIntensityMax,1.1795308803636904,0.853005640875322
8,ParticulateMin,1.1790809191770197,0.8531177687418549
8,AbsoluteHumidityMin,1.1731230569675253,0.8545984019073367
8,VisibilityMin,1.1568900076901447,0.8585945401305888
8,RainIntensityMin,1.3511800189339145,0.8071105533646687
